"app_group_art_value","node","node_next","route_application","total_application","appeal_application","interview_application","rce_application"
"1632","Interview","Not Allowed","471","1759","54","977","728"
"1632","RCE","Allowed","1","1759","54","977","728"
"1632","Appeal","Not Allowed","46","1759","54","977","728"
"1632","Application Filed","Allowed","13","1759","54","977","728"
"1632","Appeal","Allowed","8","1759","54","977","728"
"1632","RCE","Not Allowed","727","1759","54","977","728"
"1633","Interview","Allowed","402","1404","42","744","618"
"1633","Application Filed","Not Allowed","206","1404","42","744","618"
"1633","RCE","Allowed","1","1404","42","744","618"
"1633","RCE","Not Allowed","617","1404","42","744","618"
"1633","Application Filed","Allowed","57","1404","42","744","618"
"1633","Appeal","Allowed","3","1404","42","744","618"
"1633","Interview","Not Allowed","342","1404","42","744","618"
"1633","Appeal","Not Allowed","39","1404","42","744","618"
"1634","Appeal","Not Allowed","38","2365","45","1388","932"
"1634","Interview","Allowed","624","2365","45","1388","932"
"1634","Application Filed","Not Allowed","315","2365","45","1388","932"
"1634","Appeal","Allowed","7","2365","45","1388","932"
"1634","RCE","Not Allowed","930","2365","45","1388","932"
"1634","Application Filed","Allowed","29","2365","45","1388","932"
"1634","RCE","Allowed","2","2365","45","1388","932"
"1634","Interview","Not Allowed","764","2365","45","1388","932"
"1635","Interview","Allowed","295","1217","39","590","588"
"1635","Interview","Not Allowed","295","1217","39","590","588"
"1635","RCE","Allowed","1","1217","39","590","588"
"1635","Appeal","Not Allowed","30","1217","39","590","588"
"1635","Appeal","Allowed","9","1217","39","590","588"
"1635","Application Filed","Not Allowed","342","1217","39","590","588"
"1635","RCE","Not Allowed","587","1217","39","590","588"
"1635","Application Filed","Allowed","102","1217","39","590","588"
"1636","Interview","Allowed","322","823","18","522","283"
"1636","Appeal","Allowed","2","823","18","522","283"
"1636","Appeal","Not Allowed","16","823","18","522","283"
"1636","Interview","Not Allowed","200","823","18","522","283"
"1636","RCE","Not Allowed","283","823","18","522","283"
"1636","Application Filed","Allowed","38","823","18","522","283"
"1636","Application Filed","Not Allowed","112","823","18","522","283"
"1637","Interview","Not Allowed","315","1387","21","674","692"
"1637","Appeal","Not Allowed","15","1387","21","674","692"
"1637","RCE","Allowed","2","1387","21","674","692"
"1637","Interview","Allowed","359","1387","21","674","692"
"1637","Application Filed","Not Allowed","186","1387","21","674","692"
"1637","RCE","Not Allowed","690","1387","21","674","692"
"1637","Appeal","Allowed","6","1387","21","674","692"
"1637","Application Filed","Allowed","90","1387","21","674","692"
"1639","Appeal","Not Allowed","8","524","9","341","174"
"1639","Application Filed","Allowed","47","524","9","341","174"
"1639","Application Filed","Not Allowed","110","524","9","341","174"
"1639","Interview","Allowed","224","524","9","341","174"
"1639","RCE","Not Allowed","174","524","9","341","174"
"1639","Interview","Not Allowed","117","524","9","341","174"
"1639","Appeal","Allowed","1","524","9","341","174"
"1641","Interview","Not Allowed","195","912","8","662","242"
"1641","Appeal","Not Allowed","5","912","8","662","242"
"1641","Appeal","Allowed","3","912","8","662","242"
"1641","Interview","Allowed","467","912","8","662","242"
"1641","Application Filed","Allowed","23","912","8","662","242"
"1641","RCE","Not Allowed","242","912","8","662","242"
"1641","Application Filed","Not Allowed","137","912","8","662","242"
"1642","Appeal","Allowed","8","1388","49","830","509"
"1642","Application Filed","Not Allowed","253","1388","49","830","509"
"1642","Appeal","Not Allowed","40","1388","49","830","509"
"1642","RCE","Not Allowed","509","1388","49","830","509"
"1642","Application Filed","Allowed","62","1388","49","830","509"
"1642","Interview","Allowed","507","1388","49","830","509"
"1642","Interview","Not Allowed","323","1388","49","830","509"
"1642","Appeal","Appeal dismissed","1","1388","49","830","509"
"1643","Interview","Allowed","455","1172","34","759","379"
"1643","Appeal","Allowed","2","1172","34","759","379"
"1643","Appeal","Not Allowed","32","1172","34","759","379"
"1643","RCE","Allowed","2","1172","34","759","379"
"1643","Interview","Not Allowed","304","1172","34","759","379"
"1643","Application Filed","Allowed","156","1172","34","759","379"
"1643","Application Filed","Not Allowed","263","1172","34","759","379"
"1643","RCE","Not Allowed","377","1172","34","759","379"
"1644","Appeal","Not Allowed","62","1982","64","1115","803"
"1644","Interview","Allowed","677","1982","64","1115","803"
"1644","Application Filed","Not Allowed","317","1982","64","1115","803"
"1644","RCE","Allowed","1","1982","64","1115","803"
"1644","Interview","Not Allowed","438","1982","64","1115","803"
"1644","Appeal","Allowed","2","1982","64","1115","803"
"1644","Application Filed","Allowed","51","1982","64","1115","803"
"1644","RCE","Not Allowed","802","1982","64","1115","803"
"1645","Appeal","Not Allowed","25","1888","29","1226","633"
"1645","Application Filed","Allowed","70","1888","29","1226","633"
"1645","RCE","Allowed","6","1888","29","1226","633"
"1645","Interview","Allowed","823","1888","29","1226","633"
"1645","Application Filed","Not Allowed","222","1888","29","1226","633"
"1645","RCE","Not Allowed","627","1888","29","1226","633"
"1645","Interview","Not Allowed","403","1888","29","1226","633"
"1645","Appeal","Allowed","4","1888","29","1226","633"
"1646","RCE","Not Allowed","469","1460","38","952","470"
"1646","Interview","Allowed","603","1460","38","952","470"
"1646","Interview","Not Allowed","349","1460","38","952","470"
"1646","Appeal","Allowed","5","1460","38","952","470"
"1646","Application Filed","Allowed","33","1460","38","952","470"
"1646","RCE","Allowed","1","1460","38","952","470"
"1646","Appeal","Not Allowed","33","1460","38","952","470"
"1646","Application Filed","Not Allowed","226","1460","38","952","470"
"1647","Appeal","Not Allowed","19","818","23","352","443"
"1647","Application Filed","Not Allowed","244","818","23","352","443"
"1647","Interview","Not Allowed","116","818","23","352","443"
"1647","RCE","Not Allowed","439","818","23","352","443"
"1647","Appeal","Allowed","4","818","23","352","443"
"1647","RCE","Allowed","4","818","23","352","443"
"1647","Application Filed","Allowed","47","818","23","352","443"
"1647","Interview","Allowed","236","818","23","352","443"
"1648","Application Filed","Not Allowed","196","1602","26","905","671"
"1648","Appeal","Allowed","2","1602","26","905","671"
"1648","Interview","Not Allowed","310","1602","26","905","671"
"1648","RCE","Allowed","4","1602","26","905","671"
"1648","Interview","Allowed","595","1602","26","905","671"
"1648","Appeal","Not Allowed","23","1602","26","905","671"
"1648","Application Filed","Allowed","145","1602","26","905","671"
"1648","Appeal","Partially Allowed","1","1602","26","905","671"
"1648","RCE","Not Allowed","667","1602","26","905","671"
"1649","Appeal","Not Allowed","35","1198","42","627","529"
"1649","RCE","Not Allowed","528","1198","42","627","529"
"1649","Interview","Not Allowed","292","1198","42","627","529"
"1649","Interview","Allowed","335","1198","42","627","529"
"1649","Application Filed","Not Allowed","191","1198","42","627","529"
"1649","Appeal","Allowed","7","1198","42","627","529"
"1649","Application Filed","Allowed","30","1198","42","627","529"
"1649","RCE","Allowed","1","1198","42","627","529"
"1651","Interview","Allowed","361","992","24","590","378"
"1651","Application Filed","Allowed","13","992","24","590","378"
"1651","RCE","Not Allowed","378","992","24","590","378"
"1651","Application Filed","Not Allowed","148","992","24","590","378"
"1651","Interview","Not Allowed","229","992","24","590","378"
"1651","Appeal","Not Allowed","20","992","24","590","378"
"1651","Appeal","Allowed","4","992","24","590","378"
"1652","Appeal","Allowed","3","1929","20","1328","581"
"1652","Interview","Not Allowed","357","1929","20","1328","581"
"1652","RCE","Not Allowed","579","1929","20","1328","581"
"1652","Interview","Allowed","971","1929","20","1328","581"
"1652","Appeal","Not Allowed","17","1929","20","1328","581"
"1652","Application Filed","Allowed","54","1929","20","1328","581"
"1652","Application Filed","Not Allowed","231","1929","20","1328","581"
"1652","RCE","Allowed","2","1929","20","1328","581"
"1653","Interview","Allowed","345","1256","28","645","583"
"1653","Appeal","Allowed","1","1256","28","645","583"
"1653","Appeal","Not Allowed","26","1256","28","645","583"
"1653","Interview","Not Allowed","300","1256","28","645","583"
"1653","Application Filed","Allowed","17","1256","28","645","583"
"1653","RCE","Not Allowed","583","1256","28","645","583"
"1653","Appeal","Partially Allowed","1","1256","28","645","583"
"1653","Application Filed","Not Allowed","203","1256","28","645","583"
"1654","Interview","Allowed","753","1804","54","1171","579"
"1654","RCE","Allowed","1","1804","54","1171","579"
"1654","Appeal","Not Allowed","50","1804","54","1171","579"
"1654","Interview","Not Allowed","418","1804","54","1171","579"
"1654","RCE","Not Allowed","578","1804","54","1171","579"
"1654","Appeal","Allowed","4","1804","54","1171","579"
"1654","Application Filed","Allowed","49","1804","54","1171","579"
"1654","Application Filed","Not Allowed","270","1804","54","1171","579"
"1655","Interview","Not Allowed","198","1385","17","949","419"
"1655","RCE","Allowed","1","1385","17","949","419"
"1655","Interview","Allowed","751","1385","17","949","419"
"1655","Appeal","Allowed","4","1385","17","949","419"
"1655","RCE","Not Allowed","418","1385","17","949","419"
"1655","Application Filed","Allowed","270","1385","17","949","419"
"1655","Application Filed","Not Allowed","276","1385","17","949","419"
"1655","Appeal","Not Allowed","13","1385","17","949","419"
"1656","Appeal","Appeal dismissed","2","1717","32","1198","487"
"1656","Application Filed","Allowed","107","1717","32","1198","487"
"1656","Appeal","Allowed","9","1717","32","1198","487"
"1656","Interview","Allowed","900","1717","32","1198","487"
"1656","RCE","Allowed","1","1717","32","1198","487"
"1656","Interview","Not Allowed","298","1717","32","1198","487"
"1656","Application Filed","Not Allowed","183","1717","32","1198","487"
"1656","Appeal","Not Allowed","21","1717","32","1198","487"
"1656","RCE","Not Allowed","486","1717","32","1198","487"
"1657","RCE","Allowed","1","561","5","368","188"
"1657","Application Filed","Not Allowed","90","561","5","368","188"
"1657","Appeal","Allowed","1","561","5","368","188"
"1657","Appeal","Not Allowed","4","561","5","368","188"
"1657","Application Filed","Allowed","27","561","5","368","188"
"1657","RCE","Not Allowed","187","561","5","368","188"
"1657","Interview","Not Allowed","124","561","5","368","188"
"1657","Interview","Allowed","244","561","5","368","188"
"1658","Application Filed","Not Allowed","253","2275","72","1428","775"
"1658","RCE","Not Allowed","775","2275","72","1428","775"
"1658","Appeal","Allowed","10","2275","72","1428","775"
"1658","Application Filed","Allowed","28","2275","72","1428","775"
"1658","Appeal","Not Allowed","62","2275","72","1428","775"
"1658","Interview","Not Allowed","664","2275","72","1428","775"
"1658","Interview","Allowed","764","2275","72","1428","775"
"1661","Application Filed","Not Allowed","64","241",,"184","57"
"1661","Interview","Allowed","158","241",,"184","57"
"1661","Interview","Not Allowed","26","241",,"184","57"
"1661","RCE","Not Allowed","57","241",,"184","57"
"1661","Application Filed","Allowed","2312","241",,"184","57"
"1662","Appeal","Allowed","1","1231","12","846","373"
"1662","Appeal","Not Allowed","11","1231","12","846","373"
"1662","RCE","Not Allowed","372","1231","12","846","373"
"1662","RCE","Allowed","1","1231","12","846","373"
"1662","Application Filed","Not Allowed","153","1231","12","846","373"
"1662","Interview","Not Allowed","242","1231","12","846","373"
"1662","Application Filed","Allowed","437","1231","12","846","373"
"1662","Interview","Allowed","604","1231","12","846","373"
"1663","Interview","Allowed","584","1053","13","774","266"
"1663","Interview","Not Allowed","190","1053","13","774","266"
"1663","Application Filed","Not Allowed","136","1053","13","774","266"
"1663","Appeal","Not Allowed","12","1053","13","774","266"
"1663","Application Filed","Allowed","324","1053","13","774","266"
"1663","Appeal","Allowed","1","1053","13","774","266"
"1663","RCE","Allowed","1","1053","13","774","266"
"1663","RCE","Not Allowed","265","1053","13","774","266"
"1671","Appeal","Allowed","1","272","6","149","117"
"1671","RCE","Not Allowed","117","272","6","149","117"
"1671","Application Filed","Allowed","14","272","6","149","117"
"1671","Application Filed","Not Allowed","26","272","6","149","117"
"1671","Appeal","Not Allowed","4","272","6","149","117"
"1671","Interview","Not Allowed","116","272","6","149","117"
"1671","Appeal","Partially Allowed","1","272","6","149","117"
"1671","Interview","Allowed","33","272","6","149","117"
"1672","Application Filed","Allowed","1","357","2","209","146"
"1672","Interview","Allowed","50","357","2","209","146"
"1672","Appeal","Not Allowed","2","357","2","209","146"
"1672","Application Filed","Not Allowed","15","357","2","209","146"
"1672","Interview","Not Allowed","159","357","2","209","146"
"1672","RCE","Not Allowed","146","357","2","209","146"
"1673","Application Filed","Not Allowed","5",,,,
"1674","Application Filed","Not Allowed","9",,,,
"1675","RCE","Not Allowed","254","431","18","159","254"
"1675","Interview","Not Allowed","126","431","18","159","254"
"1675","Application Filed","Not Allowed","34","431","18","159","254"
"1675","Appeal","Not Allowed","17","431","18","159","254"
"1675","Interview","Allowed","33","431","18","159","254"
"1675","Application Filed","Allowed","8","431","18","159","254"
"1675","Appeal","Allowed","1","431","18","159","254"
"1676","Application Filed","Not Allowed","1",,,,
"1677","Interview","Not Allowed","77","218",,"101","117"
"1677","Interview","Allowed","24","218",,"101","117"
"1677","Application Filed","Allowed","3","218",,"101","117"
"1677","RCE","Not Allowed","117","218",,"101","117"
"1677","Application Filed","Not Allowed","25","218",,"101","117"
"1678","Application Filed","Allowed","1","366","11","180","175"
"1678","Application Filed","Not Allowed","13","366","11","180","175"
"1678","RCE","Not Allowed","175","366","11","180","175"
"1678","Interview","Not Allowed","96","366","11","180","175"
"1678","Interview","Allowed","84","366","11","180","175"
"1678","Appeal","Not Allowed","11","366","11","180","175"
"1699","Appeal","Not Allowed","25","1375","40","761","574"
"1699","Application Filed","Allowed","79","1375","40","761","574"
"1699","Interview","Allowed","475","1375","40","761","574"
"1699","Application Filed","Not Allowed","186","1375","40","761","574"
"1699","RCE","Not Allowed","574","1375","40","761","574"
"1699","Interview","Not Allowed","286","1375","40","761","574"
"1699","Appeal","Allowed","13","1375","40","761","574"
"1699","Appeal","Partially Allowed","2","1375","40","761","574"
"1700","Interview","Allowed","1","3",,"1","2"
"1700","RCE","Not Allowed","2","3",,"1","2"
"1700","Application Filed","Not Allowed","3","3",,"1","2"
"1711","Appeal","Not Allowed","10","1489","18","922","549"
"1711","Appeal","Allowed","8","1489","18","922","549"
"1711","Application Filed","Not Allowed","243","1489","18","922","549"
"1711","Interview","Allowed","480","1489","18","922","549"
"1711","Interview","Not Allowed","442","1489","18","922","549"
"1711","RCE","Allowed","2","1489","18","922","549"
"1711","Application Filed","Allowed","210","1489","18","922","549"
"1711","RCE","Not Allowed","547","1489","18","922","549"
"1712","RCE","Not Allowed","561","1131","28","541","562"
"1712","RCE","Allowed","1","1131","28","541","562"
"1712","Application Filed","Allowed","60","1131","28","541","562"
"1712","Appeal","Partially Allowed","1","1131","28","541","562"
"1712","Interview","Allowed","225","1131","28","541","562"
"1712","Application Filed","Not Allowed","111","1131","28","541","562"
"1712","Appeal","Allowed","7","1131","28","541","562"
"1712","Interview","Not Allowed","316","1131","28","541","562"
"1712","Appeal","Not Allowed","20","1131","28","541","562"
"1713","RCE","Allowed","1","1646","25","954","667"
"1713","Interview","Not Allowed","452","1646","25","954","667"
"1713","Application Filed","Not Allowed","82","1646","25","954","667"
"1713","Application Filed","Allowed","97","1646","25","954","667"
"1713","Interview","Allowed","502","1646","25","954","667"
"1713","Appeal","Not Allowed","22","1646","25","954","667"
"1713","Appeal","Partially Allowed","1","1646","25","954","667"
"1713","Appeal","Allowed","2","1646","25","954","667"
"1713","RCE","Not Allowed","666","1646","25","954","667"
"1714","RCE","Not Allowed","502","1229","31","694","504"
"1714","Interview","Not Allowed","300","1229","31","694","504"
"1714","Application Filed","Not Allowed","93","1229","31","694","504"
"1714","Appeal","Allowed","10","1229","31","694","504"
"1714","RCE","Allowed","2","1229","31","694","504"
"1714","Interview","Allowed","394","1229","31","694","504"
"1714","Appeal","Not Allowed","21","1229","31","694","504"
"1714","Application Filed","Allowed","70","1229","31","694","504"
"1715","Interview","Allowed","342","1122","24","622","476"
"1715","Application Filed","Not Allowed","112","1122","24","622","476"
"1715","RCE","Not Allowed","474","1122","24","622","476"
"1715","Appeal","Allowed","13","1122","24","622","476"
"1715","Appeal","Not Allowed","11","1122","24","622","476"
"1715","RCE","Allowed","2","1122","24","622","476"
"1715","Application Filed","Allowed","71","1122","24","622","476"
"1715","Interview","Not Allowed","280","1122","24","622","476"
"1716","Application Filed","Allowed","158","2250","34","1334","882"
"1716","Appeal","Not Allowed","25","2250","34","1334","882"
"1716","Appeal","Allowed","9","2250","34","1334","882"
"1716","RCE","Not Allowed","881","2250","34","1334","882"
"1716","Interview","Not Allowed","897","2250","34","1334","882"
"1716","Application Filed","Not Allowed","82","2250","34","1334","882"
"1716","Interview","Allowed","437","2250","34","1334","882"
"1716","RCE","Allowed","1","2250","34","1334","882"
"1717","Appeal","Allowed","9","1734","42","1018","674"
"1717","Appeal","Partially Allowed","2","1734","42","1018","674"
"1717","Interview","Not Allowed","505","1734","42","1018","674"
"1717","RCE","Not Allowed","674","1734","42","1018","674"
"1717","Interview","Allowed","513","1734","42","1018","674"
"1717","Appeal","Not Allowed","31","1734","42","1018","674"
"1717","Application Filed","Not Allowed","154","1734","42","1018","674"
"1717","Application Filed","Allowed","49","1734","42","1018","674"
"1718","Application Filed","Not Allowed","77","1417","31","701","685"
"1718","Appeal","Not Allowed","23","1417","31","701","685"
"1718","Interview","Allowed","162","1417","31","701","685"
"1718","Appeal","Allowed","8","1417","31","701","685"
"1718","RCE","Allowed","1","1417","31","701","685"
"1718","Interview","Not Allowed","539","1417","31","701","685"
"1718","RCE","Not Allowed","684","1417","31","701","685"
"1718","Application Filed","Allowed","23","1417","31","701","685"
"1721","Application Filed","Not Allowed","168","1519","36","851","632"
"1721","Appeal","Allowed","12","1519","36","851","632"
"1721","Appeal","Not Allowed","23","1519","36","851","632"
"1721","Interview","Allowed","337","1519","36","851","632"
"1721","Interview","Not Allowed","514","1519","36","851","632"
"1721","Application Filed","Allowed","94","1519","36","851","632"
"1721","Appeal","Partially Allowed","1","1519","36","851","632"
"1721","RCE","Not Allowed","632","1519","36","851","632"
"1722","Application Filed","Not Allowed","150","1418","28","760","630"
"1722","Application Filed","Allowed","182","1418","28","760","630"
"1722","RCE","Allowed","1","1418","28","760","630"
"1722","Appeal","Allowed","10","1418","28","760","630"
"1722","Interview","Not Allowed","394","1418","28","760","630"
"1722","Appeal","Not Allowed","18","1418","28","760","630"
"1722","Interview","Allowed","366","1418","28","760","630"
"1722","RCE","Not Allowed","629","1418","28","760","630"
"1723","Application Filed","Not Allowed","85","1938","30","1088","820"
"1723","Interview","Not Allowed","603","1938","30","1088","820"
"1723","Appeal","Not Allowed","23","1938","30","1088","820"
"1723","Interview","Allowed","485","1938","30","1088","820"
"1723","Appeal","Allowed","7","1938","30","1088","820"
"1723","Application Filed","Allowed","110","1938","30","1088","820"
"1723","RCE","Not Allowed","820","1938","30","1088","820"
"1724","Interview","Not Allowed","556","1547","13","959","575"
"1724","Appeal","Allowed","6","1547","13","959","575"
"1724","Application Filed","Allowed","383","1547","13","959","575"
"1724","RCE","Not Allowed","575","1547","13","959","575"
"1724","Appeal","Not Allowed","7","1547","13","959","575"
"1724","Interview","Allowed","403","1547","13","959","575"
"1724","Application Filed","Not Allowed","82","1547","13","959","575"
"1725","Appeal","Partially Allowed","1","1812","24","1111","677"
"1725","Interview","Allowed","562","1812","24","1111","677"
"1725","Appeal","Not Allowed","14","1812","24","1111","677"
"1725","Appeal","Allowed","9","1812","24","1111","677"
"1725","RCE","Allowed","1","1812","24","1111","677"
