"examiner_name","node","node_next","route_application","total_application","appeal_application","interview_application","rce_application"
"ABBOTT-LEWIS, YVONNE RENEE","Interview","Allowed","8","21",,"10","11"
"ABBOTT-LEWIS, YVONNE RENEE","Application Filed","Allowed","122","21",,"10","11"
"ABBOTT-LEWIS, YVONNE RENEE","Interview","Not Allowed","2","21",,"10","11"
"ABBOTT-LEWIS, YVONNE RENEE","RCE","Not Allowed","11","21",,"10","11"
"ABD EL LATIF, HOSSAM M","Application Filed","Allowed","8","101","5","67","29"
"ABD EL LATIF, HOSSAM M","Interview","Allowed","31","101","5","67","29"
"ABD EL LATIF, HOSSAM M","Application Filed","Not Allowed","8","101","5","67","29"
"ABD EL LATIF, HOSSAM M","RCE","Not Allowed","29","101","5","67","29"
"ABD EL LATIF, HOSSAM M","Appeal","Allowed","4","101","5","67","29"
"ABD EL LATIF, HOSSAM M","Appeal","Not Allowed","1","101","5","67","29"
"ABD EL LATIF, HOSSAM M","Interview","Not Allowed","36","101","5","67","29"
"ABDALLAH, RANI J","Interview","Allowed","135","142",,"142",
"ABDALLAH, RANI J","Application Filed","Allowed","573","142",,"142",
"ABDALLAH, RANI J","Application Filed","Not Allowed","10","142",,"142",
"ABDALLAH, RANI J","Interview","Not Allowed","7","142",,"142",
"ABDEL-RAHMAN, AHMAD","Application Filed","Not Allowed","5","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","Appeal","Not Allowed","1","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","Appeal","Allowed","1","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","RCE","Not Allowed","31","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","Interview","Not Allowed","32","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","Interview","Allowed","1","66","2","33","31"
"ABDEL-RAHMAN, AHMAD","Application Filed","Allowed","1","66","2","33","31"
"ABDELAZIEZ, YASSER A","Application Filed","Allowed","61","74","2","51","21"
"ABDELAZIEZ, YASSER A","RCE","Not Allowed","21","74","2","51","21"
"ABDELAZIEZ, YASSER A","Appeal","Allowed","1","74","2","51","21"
"ABDELAZIEZ, YASSER A","Interview","Not Allowed","9","74","2","51","21"
"ABDELAZIEZ, YASSER A","Interview","Allowed","42","74","2","51","21"
"ABDELAZIEZ, YASSER A","Application Filed","Not Allowed","7","74","2","51","21"
"ABDELAZIEZ, YASSER A","Appeal","Not Allowed","1","74","2","51","21"
"ABDELLAOUI, HAKEEM M","Appeal","Allowed","1","15","2","12","1"
"ABDELLAOUI, HAKEEM M","RCE","Not Allowed","1","15","2","12","1"
"ABDELLAOUI, HAKEEM M","Interview","Not Allowed","3","15","2","12","1"
"ABDELLAOUI, HAKEEM M","Application Filed","Allowed","1","15","2","12","1"
"ABDELLAOUI, HAKEEM M","Appeal","Not Allowed","1","15","2","12","1"
"ABDELLAOUI, HAKEEM M","Application Filed","Not Allowed","2","15","2","12","1"
"ABDELLAOUI, HAKEEM M","Interview","Allowed","9","15","2","12","1"
"ABDI, AMARA","RCE","Not Allowed","22","130","2","106","22"
"ABDI, AMARA","Appeal","Not Allowed","1","130","2","106","22"
"ABDI, AMARA","Application Filed","Not Allowed","6","130","2","106","22"
"ABDI, AMARA","Application Filed","Allowed","30","130","2","106","22"
"ABDI, AMARA","Interview","Not Allowed","39","130","2","106","22"
"ABDI, AMARA","Interview","Allowed","67","130","2","106","22"
"ABDI, AMARA","Appeal","Allowed","1","130","2","106","22"
"ABDI, KAMBIZ","Application Filed","Not Allowed","7",,,,
"ABDIN, SHAHEDA A","Interview","Allowed","63","143","1","93","49"
"ABDIN, SHAHEDA A","Appeal","Not Allowed","1","143","1","93","49"
"ABDIN, SHAHEDA A","Application Filed","Not Allowed","5","143","1","93","49"
"ABDIN, SHAHEDA A","Application Filed","Allowed","18","143","1","93","49"
"ABDIN, SHAHEDA A","RCE","Not Allowed","49","143","1","93","49"
"ABDIN, SHAHEDA A","Interview","Not Allowed","30","143","1","93","49"
"ABDOSH, SAMIR","Interview","Not Allowed","4","25",,"8","17"
"ABDOSH, SAMIR","RCE","Not Allowed","17","25",,"8","17"
"ABDOSH, SAMIR","Application Filed","Not Allowed","19","25",,"8","17"
"ABDOSH, SAMIR","Application Filed","Allowed","84","25",,"8","17"
"ABDOSH, SAMIR","Interview","Allowed","4","25",,"8","17"
"ABDOU TCHOUSSOU, BOUBACAR","Application Filed","Not Allowed","10","150",,"93","57"
"ABDOU TCHOUSSOU, BOUBACAR","Interview","Allowed","46","150",,"93","57"
"ABDOU TCHOUSSOU, BOUBACAR","RCE","Not Allowed","57","150",,"93","57"
"ABDOU TCHOUSSOU, BOUBACAR","Application Filed","Allowed","10","150",,"93","57"
"ABDOU TCHOUSSOU, BOUBACAR","Interview","Not Allowed","47","150",,"93","57"
"ABDULLAEV, AMANULLA","RCE","Not Allowed","33","94","4","57","33"
"ABDULLAEV, AMANULLA","Interview","Allowed","6","94","4","57","33"
"ABDULLAEV, AMANULLA","Application Filed","Not Allowed","9","94","4","57","33"
"ABDULLAEV, AMANULLA","Appeal","Allowed","1","94","4","57","33"
"ABDULLAEV, AMANULLA","Appeal","Not Allowed","3","94","4","57","33"
"ABDULLAEV, AMANULLA","Interview","Not Allowed","51","94","4","57","33"
"ABDULLAH, AAISHA","RCE","Not Allowed","19","30",,"11","19"
"ABDULLAH, AAISHA","Interview","Not Allowed","11","30",,"11","19"
"ABDULLAH, AAISHA","Application Filed","Not Allowed","2","30",,"11","19"
"ABDULLAH, SAAD AHMAD","RCE","Not Allowed","5","11",,"6","5"
"ABDULLAH, SAAD AHMAD","Interview","Not Allowed","4","11",,"6","5"
"ABDULLAH, SAAD AHMAD","Interview","Allowed","2","11",,"6","5"
"ABDULSELAM, ABBAS I","Application Filed","Allowed","55","81",,"38","43"
"ABDULSELAM, ABBAS I","Application Filed","Not Allowed","9","81",,"38","43"
"ABDULSELAM, ABBAS I","Interview","Allowed","22","81",,"38","43"
"ABDULSELAM, ABBAS I","RCE","Not Allowed","43","81",,"38","43"
"ABDULSELAM, ABBAS I","Interview","Not Allowed","16","81",,"38","43"
"ABDUR, RAHMAN","Interview","Not Allowed","25","69","1","45","23"
"ABDUR, RAHMAN","Application Filed","Allowed","4","69","1","45","23"
"ABDUR, RAHMAN","Interview","Allowed","20","69","1","45","23"
"ABDUR, RAHMAN","Appeal","Not Allowed","1","69","1","45","23"
"ABDUR, RAHMAN","Application Filed","Not Allowed","12","69","1","45","23"
"ABDUR, RAHMAN","RCE","Not Allowed","23","69","1","45","23"
"ABEBE, DANIEL DEMELASH","Application Filed","Allowed","34","37",,"11","26"
"ABEBE, DANIEL DEMELASH","Application Filed","Not Allowed","12","37",,"11","26"
"ABEBE, DANIEL DEMELASH","Interview","Allowed","10","37",,"11","26"
"ABEBE, DANIEL DEMELASH","Interview","Not Allowed","1","37",,"11","26"
"ABEBE, DANIEL DEMELASH","RCE","Not Allowed","26","37",,"11","26"
"ABEBE, SOSINA","Appeal","Not Allowed","4","74","6","38","30"
"ABEBE, SOSINA","Interview","Allowed","18","74","6","38","30"
"ABEBE, SOSINA","RCE","Not Allowed","30","74","6","38","30"
"ABEBE, SOSINA","Application Filed","Allowed","2","74","6","38","30"
"ABEBE, SOSINA","Application Filed","Not Allowed","5","74","6","38","30"
"ABEBE, SOSINA","Appeal","Allowed","2","74","6","38","30"
"ABEBE, SOSINA","Interview","Not Allowed","20","74","6","38","30"
"ABEDIN, NORMIN","Application Filed","Not Allowed","4","74","3","47","24"
"ABEDIN, NORMIN","RCE","Not Allowed","23","74","3","47","24"
"ABEDIN, NORMIN","Interview","Not Allowed","27","74","3","47","24"
"ABEDIN, NORMIN","Interview","Allowed","20","74","3","47","24"
"ABEDIN, NORMIN","Application Filed","Allowed","24","74","3","47","24"
"ABEDIN, NORMIN","Appeal","Allowed","3","74","3","47","24"
"ABEDIN, NORMIN","RCE","Allowed","1","74","3","47","24"
"ABEDIN, SHANTO","Application Filed","Not Allowed","2","175","2","144","29"
"ABEDIN, SHANTO","RCE","Not Allowed","29","175","2","144","29"
"ABEDIN, SHANTO","Appeal","Not Allowed","2","175","2","144","29"
"ABEDIN, SHANTO","Interview","Allowed","111","175","2","144","29"
"ABEDIN, SHANTO","Application Filed","Allowed","5","175","2","144","29"
"ABEDIN, SHANTO","Interview","Not Allowed","33","175","2","144","29"
"ABEL JALIL, NEVEEN","Application Filed","Not Allowed","4","3",,,"3"
"ABEL JALIL, NEVEEN","RCE","Not Allowed","3","3",,,"3"
"ABEL, LENORA A","Application Filed","Not Allowed","16","93",,"33","60"
"ABEL, LENORA A","Interview","Allowed","22","93",,"33","60"
"ABEL, LENORA A","Interview","Not Allowed","11","93",,"33","60"
"ABEL, LENORA A","RCE","Not Allowed","60","93",,"33","60"
"ABELL, TYE W","Interview","Allowed","124","202",,"162","40"
"ABELL, TYE W","RCE","Not Allowed","39","202",,"162","40"
"ABELL, TYE W","RCE","Allowed","1","202",,"162","40"
"ABELL, TYE W","Interview","Not Allowed","38","202",,"162","40"
"ABELL, TYE W","Application Filed","Allowed","21","202",,"162","40"
"ABELL, TYE W","Application Filed","Not Allowed","20","202",,"162","40"
"ABELSON, RONALD B","RCE","Not Allowed","29","58","3","26","29"
"ABELSON, RONALD B","Application Filed","Allowed","99","58","3","26","29"
"ABELSON, RONALD B","Interview","Allowed","12","58","3","26","29"
"ABELSON, RONALD B","Interview","Not Allowed","14","58","3","26","29"
"ABELSON, RONALD B","Application Filed","Not Allowed","7","58","3","26","29"
"ABELSON, RONALD B","Appeal","Allowed","3","58","3","26","29"
"ABIMBOLA, KEHINDE","RCE","Not Allowed","5","20",,"15","5"
"ABIMBOLA, KEHINDE","Interview","Not Allowed","5","20",,"15","5"
"ABIMBOLA, KEHINDE","Application Filed","Not Allowed","2","20",,"15","5"
"ABIMBOLA, KEHINDE","Interview","Allowed","10","20",,"15","5"
"ABIMBOLA, KEHINDE","Application Filed","Allowed","4","20",,"15","5"
"ABOAGYE, MICHAEL","RCE","Not Allowed","26","137",,"111","26"
"ABOAGYE, MICHAEL","Interview","Not Allowed","16","137",,"111","26"
"ABOAGYE, MICHAEL","Application Filed","Not Allowed","19","137",,"111","26"
"ABOAGYE, MICHAEL","Interview","Allowed","95","137",,"111","26"
"ABOU EL SEOUD, MOHAMED","Interview","Not Allowed","62","125","2","72","51"
"ABOU EL SEOUD, MOHAMED","Interview","Allowed","10","125","2","72","51"
"ABOU EL SEOUD, MOHAMED","Application Filed","Allowed","2","125","2","72","51"
"ABOU EL SEOUD, MOHAMED","Appeal","Not Allowed","2","125","2","72","51"
"ABOU EL SEOUD, MOHAMED","RCE","Not Allowed","51","125","2","72","51"
"ABOU EL SEOUD, MOHAMED","Application Filed","Not Allowed","3","125","2","72","51"
"ABOUELELA, MAY A","Appeal","Not Allowed","2","133","2","108","23"
"ABOUELELA, MAY A","Application Filed","Allowed","1","133","2","108","23"
"ABOUELELA, MAY A","Application Filed","Not Allowed","17","133","2","108","23"
"ABOUELELA, MAY A","Interview","Not Allowed","25","133","2","108","23"
"ABOUELELA, MAY A","Interview","Allowed","83","133","2","108","23"
"ABOUELELA, MAY A","RCE","Not Allowed","23","133","2","108","23"
"ABOUKOURA, MOHAMED ABDELLATIF","Application Filed","Allowed","1",,,,
"ABOUZAHRA, HESHAM K","Application Filed","Not Allowed","4","72","1","11","60"
"ABOUZAHRA, HESHAM K","Interview","Not Allowed","8","72","1","11","60"
"ABOUZAHRA, HESHAM K","Application Filed","Allowed","14","72","1","11","60"
"ABOUZAHRA, HESHAM K","RCE","Not Allowed","60","72","1","11","60"
"ABOUZAHRA, HESHAM K","Appeal","Not Allowed","1","72","1","11","60"
"ABOUZAHRA, HESHAM K","Interview","Allowed","3","72","1","11","60"
"ABOUZAHRA, REHAM K","Application Filed","Not Allowed","6","60",,"30","30"
"ABOUZAHRA, REHAM K","Interview","Not Allowed","29","60",,"30","30"
"ABOUZAHRA, REHAM K","RCE","Not Allowed","30","60",,"30","30"
"ABOUZAHRA, REHAM K","Interview","Allowed","1","60",,"30","30"
"ABRAHAM, ESAW T","Application Filed","Not Allowed","1","44",,"27","17"
"ABRAHAM, ESAW T","Interview","Allowed","26","44",,"27","17"
"ABRAHAM, ESAW T","Application Filed","Allowed","56","44",,"27","17"
"ABRAHAM, ESAW T","Interview","Not Allowed","1","44",,"27","17"
"ABRAHAM, ESAW T","RCE","Not Allowed","16","44",,"27","17"
"ABRAHAM, ESAW T","RCE","Allowed","1","44",,"27","17"
"ABRAHAM, IBRAHIME A","Application Filed","Not Allowed","3",,,,
"ABRAHAM, JOSE K","Interview","Allowed","52","81",,"64","17"
"ABRAHAM, JOSE K","Application Filed","Not Allowed","10","81",,"64","17"
"ABRAHAM, JOSE K","RCE","Not Allowed","17","81",,"64","17"
"ABRAHAM, JOSE K","Interview","Not Allowed","12","81",,"64","17"
"ABRAHAM, SHOUN JOSE","Interview","Not Allowed","22","54","1","32","21"
"ABRAHAM, SHOUN JOSE","Appeal","Not Allowed","1","54","1","32","21"
"ABRAHAM, SHOUN JOSE","Application Filed","Not Allowed","3","54","1","32","21"
"ABRAHAM, SHOUN JOSE","Interview","Allowed","10","54","1","32","21"
"ABRAHAM, SHOUN JOSE","RCE","Not Allowed","21","54","1","32","21"
"ABRAHAM, TANIA","Application Filed","Allowed","16","41",,"29","12"
"ABRAHAM, TANIA","RCE","Not Allowed","12","41",,"29","12"
"ABRAHAM, TANIA","Interview","Allowed","17","41",,"29","12"
"ABRAHAM, TANIA","Application Filed","Not Allowed","12","41",,"29","12"
"ABRAHAM, TANIA","Interview","Not Allowed","12","41",,"29","12"
"ABRAHAMSON, AMANDA C.","Interview","Allowed","1","2",,"2",
"ABRAHAMSON, AMANDA C.","Interview","Not Allowed","1","2",,"2",
"ABRAMS, NEIL","Application Filed","Allowed","93","37","1","20","16"
"ABRAMS, NEIL","Interview","Allowed","16","37","1","20","16"
"ABRAMS, NEIL","Appeal","Not Allowed","1","37","1","20","16"
"ABRAMS, NEIL","RCE","Not Allowed","16","37","1","20","16"
"ABRAMS, NEIL","Application Filed","Not Allowed","12","37","1","20","16"
"ABRAMS, NEIL","Interview","Not Allowed","4","37","1","20","16"
"ABRISHAMKAR, KAVEH","Application Filed","Not Allowed","25","114",,"82","32"
"ABRISHAMKAR, KAVEH","Interview","Not Allowed","37","114",,"82","32"
"ABRISHAMKAR, KAVEH","Application Filed","Allowed","9","114",,"82","32"
"ABRISHAMKAR, KAVEH","Interview","Allowed","45","114",,"82","32"
"ABRISHAMKAR, KAVEH","RCE","Not Allowed","32","114",,"82","32"
"ABU ALI, SHUANGYI","Interview","Allowed","43","171","2","86","83"
"ABU ALI, SHUANGYI","Application Filed","Not Allowed","25","171","2","86","83"
"ABU ALI, SHUANGYI","RCE","Not Allowed","83","171","2","86","83"
"ABU ALI, SHUANGYI","Appeal","Not Allowed","2","171","2","86","83"
"ABU ALI, SHUANGYI","Interview","Not Allowed","43","171","2","86","83"
"ABU ROUMI, MAHRAN Y","Interview","Allowed","71","258","7","171","80"
"ABU ROUMI, MAHRAN Y","Appeal","Allowed","4","258","7","171","80"
"ABU ROUMI, MAHRAN Y","Application Filed","Not Allowed","8","258","7","171","80"
"ABU ROUMI, MAHRAN Y","Application Filed","Allowed","2","258","7","171","80"
"ABU ROUMI, MAHRAN Y","RCE","Not Allowed","80","258","7","171","80"
"ABU ROUMI, MAHRAN Y","Appeal","Not Allowed","3","258","7","171","80"
"ABU ROUMI, MAHRAN Y","Interview","Not Allowed","100","258","7","171","80"
"ABULABAN, ABDALLAH","Application Filed","Not Allowed","17","102","3","53","46"
"ABULABAN, ABDALLAH","Interview","Not Allowed","48","102","3","53","46"
"ABULABAN, ABDALLAH","Appeal","Not Allowed","2","102","3","53","46"
"ABULABAN, ABDALLAH","RCE","Not Allowed","46","102","3","53","46"
"ABULABAN, ABDALLAH","Appeal","Allowed","1","102","3","53","46"
"ABULABAN, ABDALLAH","Interview","Allowed","5","102","3","53","46"
"ABYANEH, ALI S","Application Filed","Not Allowed","11","147","1","113","33"
"ABYANEH, ALI S","RCE","Not Allowed","33","147","1","113","33"
"ABYANEH, ALI S","Application Filed","Allowed","1","147","1","113","33"
"ABYANEH, ALI S","Appeal","Not Allowed","1","147","1","113","33"
"ABYANEH, ALI S","Interview","Allowed","82","147","1","113","33"
"ABYANEH, ALI S","Interview","Not Allowed","31","147","1","113","33"
"ACKER, KAREN S","Interview","Allowed","1060","1644",,"1644",
"ACKER, KAREN S","Interview","Not Allowed","584","1644",,"1644",
"ACKER, KAREN S","Application Filed","Allowed","468","1644",,"1644",
"ACKER, KAREN S","Application Filed","Not Allowed","26","1644",,"1644",
"ACKUN, JACOB K","RCE","Not Allowed","59","93","9","25","59"
"ACKUN, JACOB K","Interview","Not Allowed","19","93","9","25","59"
"ACKUN, JACOB K","Application Filed","Allowed","86","93","9","25","59"
"ACKUN, JACOB K","Interview","Allowed","6","93","9","25","59"
"ACKUN, JACOB K","Appeal","Not Allowed","7","93","9","25","59"
"ACKUN, JACOB K","Appeal","Allowed","2","93","9","25","59"
"ACKUN, JACOB K","Application Filed","Not Allowed","36","93","9","25","59"
"ACOLATSE, KODZOVI","Interview","Not Allowed","58","236","2","153","81"
"ACOLATSE, KODZOVI","Application Filed","Not Allowed","6","236","2","153","81"
"ACOLATSE, KODZOVI","Appeal","Not Allowed","2","236","2","153","81"
"ACOLATSE, KODZOVI","Interview","Allowed","95","236","2","153","81"
"ACOLATSE, KODZOVI","Application Filed","Allowed","19","236","2","153","81"
"ACOLATSE, KODZOVI","RCE","Not Allowed","80","236","2","153","81"
"ACOLATSE, KODZOVI","RCE","Allowed","1","236","2","153","81"
"ACOSTA, ERIC LAZARUS","Application Filed","Not Allowed","4","20",,"17","3"
"ACOSTA, ERIC LAZARUS","Interview","Not Allowed","2","20",,"17","3"
"ACOSTA, ERIC LAZARUS","RCE","Not Allowed","3","20",,"17","3"
"ACOSTA, ERIC LAZARUS","Interview","Allowed","15","20",,"17","3"
"ADAM, MOHAMMED SOHAIL","Interview","Allowed","53","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","Application Filed","Not Allowed","5","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","Application Filed","Allowed","4","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","Interview","Not Allowed","60","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","Appeal","Not Allowed","1","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","RCE","Not Allowed","63","178","1","113","64"
"ADAM, MOHAMMED SOHAIL","RCE","Allowed","1","178","1","113","64"
"ADAMOS, THEODORE V","RCE","Not Allowed","66","192","8","118","66"
"ADAMOS, THEODORE V","Application Filed","Not Allowed","23","192","8","118","66"
"ADAMOS, THEODORE V","Interview","Not Allowed","43","192","8","118","66"
"ADAMOS, THEODORE V","Application Filed","Allowed","2","192","8","118","66"
"ADAMOS, THEODORE V","Appeal","Not Allowed","6","192","8","118","66"
"ADAMOS, THEODORE V","Appeal","Allowed","2","192","8","118","66"
"ADAMOS, THEODORE V","Interview","Allowed","75","192","8","118","66"
"ADAMS, ARVA P","Interview","Allowed","38","51",,"51",
"ADAMS, ARVA P","Interview","Not Allowed","13","51",,"51",
"ADAMS, ARVA P","Application Filed","Allowed","96","51",,"51",
"ADAMS, CARL","Application Filed","Not Allowed","7","108","1","43","64"
"ADAMS, CARL","Interview","Allowed","15","108","1","43","64"
"ADAMS, CARL","Interview","Not Allowed","28","108","1","43","64"
"ADAMS, CARL","RCE","Not Allowed","64","108","1","43","64"
"ADAMS, CARL","Application Filed","Allowed","16","108","1","43","64"
"ADAMS, CARL","Appeal","Allowed","1","108","1","43","64"
"ADAMS, CHARLES D","Interview","Allowed","5","99","1","50","48"
"ADAMS, CHARLES D","Interview","Not Allowed","45","99","1","50","48"
"ADAMS, CHARLES D","Appeal","Not Allowed","1","99","1","50","48"
"ADAMS, CHARLES D","Application Filed","Not Allowed","2","99","1","50","48"
"ADAMS, CHARLES D","RCE","Not Allowed","48","99","1","50","48"
"ADAMS, EILEEN M","RCE","Not Allowed","50","236",,"186","50"
"ADAMS, EILEEN M","Application Filed","Not Allowed","10","236",,"186","50"
"ADAMS, EILEEN M","Application Filed","Allowed","49","236",,"186","50"
"ADAMS, EILEEN M","Interview","Not Allowed","47","236",,"186","50"
"ADAMS, EILEEN M","Interview","Allowed","139","236",,"186","50"
"ADAMS, GREGORY W","Interview","Allowed","30","89",,"44","45"
"ADAMS, GREGORY W","RCE","Not Allowed","45","89",,"44","45"
"ADAMS, GREGORY W","Application Filed","Allowed","16","89",,"44","45"
"ADAMS, GREGORY W","Application Filed","Not Allowed","26","89",,"44","45"
"ADAMS, GREGORY W","Interview","Not Allowed","14","89",,"44","45"
"ADAMS, MICHELLE","Application Filed","Allowed","2","109","1","73","35"
"ADAMS, MICHELLE","Application Filed","Not Allowed","5","109","1","73","35"
"ADAMS, MICHELLE","Appeal","Not Allowed","1","109","1","73","35"
"ADAMS, MICHELLE","Interview","Not Allowed","36","109","1","73","35"
"ADAMS, MICHELLE","RCE","Not Allowed","35","109","1","73","35"
"ADAMS, MICHELLE","Interview","Allowed","37","109","1","73","35"
"ADAMS, NATHANIEL L","Application Filed","Allowed","15","54",,"36","18"
"ADAMS, NATHANIEL L","Application Filed","Not Allowed","9","54",,"36","18"
"ADAMS, NATHANIEL L","Interview","Allowed","32","54",,"36","18"
"ADAMS, NATHANIEL L","Interview","Not Allowed","4","54",,"36","18"
"ADAMS, NATHANIEL L","RCE","Not Allowed","18","54",,"36","18"
"ADDIE, RAYMOND W","Application Filed","Not Allowed","28","130",,"88","42"
"ADDIE, RAYMOND W","Interview","Not Allowed","17","130",,"88","42"
"ADDIE, RAYMOND W","RCE","Not Allowed","42","130",,"88","42"
"ADDIE, RAYMOND W","Interview","Allowed","71","130",,"88","42"
"ADDIE, RAYMOND W","Application Filed","Allowed","113","130",,"88","42"
"ADDISON, KAREN B","Application Filed","Allowed","2","1",,,"1"
"ADDISON, KAREN B","RCE","Not Allowed","1","1",,,"1"
"ADDISON, KAREN B","Application Filed","Not Allowed","3","1",,,"1"
"ADDISU, SARA","Application Filed","Not Allowed","13","41",,"23","18"
"ADDISU, SARA","Interview","Allowed","16","41",,"23","18"
"ADDISU, SARA","RCE","Not Allowed","18","41",,"23","18"
"ADDISU, SARA","Application Filed","Allowed","17","41",,"23","18"
"ADDISU, SARA","Interview","Not Allowed","7","41",,"23","18"
"ADDY, ANTHONY S","RCE","Not Allowed","1","2",,"1","1"
"ADDY, ANTHONY S","Interview","Not Allowed","1","2",,"1","1"
"ADDY, THJUAN KNOWLIN","Interview","Not Allowed","1","16","1","3","12"
"ADDY, THJUAN KNOWLIN","Application Filed","Not Allowed","16","16","1","3","12"
"ADDY, THJUAN KNOWLIN","Interview","Allowed","2","16","1","3","12"
"ADDY, THJUAN KNOWLIN","Application Filed","Allowed","82","16","1","3","12"
"ADDY, THJUAN KNOWLIN","Appeal","Not Allowed","1","16","1","3","12"
"ADDY, THJUAN KNOWLIN","RCE","Not Allowed","12","16","1","3","12"
"ADE, OGER GARCIA","Interview","Not Allowed","14","59","3","38","18"
"ADE, OGER GARCIA","Appeal","Allowed","3","59","3","38","18"
"ADE, OGER GARCIA","RCE","Not Allowed","17","59","3","38","18"
"ADE, OGER GARCIA","Application Filed","Not Allowed","21","59","3","38","18"
"ADE, OGER GARCIA","Interview","Allowed","24","59","3","38","18"
"ADE, OGER GARCIA","RCE","Allowed","1","59","3","38","18"
"ADEBOYEJO, IFEOLU A","Interview","Not Allowed","17","65","5","44","16"
"ADEBOYEJO, IFEOLU A","Appeal","Allowed","2","65","5","44","16"
"ADEBOYEJO, IFEOLU A","RCE","Not Allowed","16","65","5","44","16"
"ADEBOYEJO, IFEOLU A","Application Filed","Allowed","4","65","5","44","16"
"ADEBOYEJO, IFEOLU A","Application Filed","Not Allowed","22","65","5","44","16"
"ADEBOYEJO, IFEOLU A","Appeal","Not Allowed","3","65","5","44","16"
"ADEBOYEJO, IFEOLU A","Interview","Allowed","27","65","5","44","16"
"ADEDIRAN, ABDUL -SAMAD A","Appeal","Not Allowed","1","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","Interview","Not Allowed","46","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","Appeal","Allowed","1","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","Interview","Allowed","49","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","RCE","Allowed","2","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","Application Filed","Allowed","12","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","Application Filed","Not Allowed","12","148","2","95","51"
"ADEDIRAN, ABDUL -SAMAD A","RCE","Not Allowed","49","148","2","95","51"
"ADENIJI, IBRAHIM M","Application Filed","Not Allowed","1","8",,"7","1"
"ADENIJI, IBRAHIM M","RCE","Not Allowed","1","8",,"7","1"
"ADENIJI, IBRAHIM M","Interview","Not Allowed","4","8",,"7","1"
"ADENIJI, IBRAHIM M","Interview","Allowed","3","8",,"7","1"
